,job_title,company_name,time_posted,num_applicants
0,Reactjs Developer,Zortech Solutions,5 months ago,
1,Web Developer,Epic Notion,3 weeks ago,
2,"Frontend Engineer, Elements",Stripe,,
3,Front End Engineer,Network to Code,2 weeks ago,
4,Remote Front End Web Developer,Column Technical Services,1 month ago,100 applicants
5,,,,
6,Frontend Developer,facilis.ai,1 week ago,
7,Frontend Engineer (Fully Remote),CSV Now,4 months ago,
8,Frontend developer,Smartcat,5 months ago,
9,Frontend JavaScript Developer,Software Technology Inc.,2 weeks ago,120 applicants
